Company,Sector,,Assets&nbsp;%
Neuland Laboratories Ltd.,Healthcare,,1.76
Wockhardt Ltd.,Healthcare,,1.69
PG Electroplast Ltd.,Consumer Durables,,1.62
LMW Ltd.,Textile,,1.53
Religare Enterprises Ltd.,Financials,,1.13
Zen Technologies Ltd.,Technology,,1.10
The Karnataka Bank Ltd.,Financials,,1.05
Reliance Infrastructure Ltd.,Energy,,1.02
Equinox India Developments Ltd.,Construction,,1.01
VA Tech Wabag Ltd.,Miscellaneous,,1.00
The South Indian Bank Ltd.,Financials,,0.98
CarTrade Tech Ltd.,Automobile and Ancillaries,,0.97
CMS Info Systems Ltd.,Technology,,0.97
Edelweiss Financial Services Ltd.,Financials,,0.95
Nava Ltd.,Energy,,0.94
Astra Microwave Products Ltd.,Capital Goods,,0.91
Jupiter Life Line Hospitals Ltd.,Healthcare,,0.88
Gravita India Ltd.,Metals,,0.87
DCM Shriram Ltd.,Diversified,,0.84
Gokaldas Exports Ltd.,Textile,,0.83
AMI Organics Ltd.,Healthcare,,0.82
GHCL Ltd.,Chemicals,,0.80
Sansera Engineering Ltd.,Automobile and Ancillaries,,0.78
LT Foods Ltd.,FMCG,,0.78
Onesource Specialty Pharma Ltd.,Healthcare,,0.78
Safari Industries (India) Ltd.,FMCG,,0.77
Arvind Ltd.,Textile,,0.77
Voltamp Transformers Ltd.,Capital Goods,,0.76
Marksans Pharma Ltd.,Healthcare,,0.72
ITD Cementation India Ltd.,Infrastructure,,0.72
Ion Exchange (India) Ltd.,Capital Goods,,0.70
Hindustan Construction Company Ltd.,Infrastructure,,0.70
Sudarshan Chemical Industries Ltd.,Chemicals,,0.69
Strides Pharma Science Ltd.,Healthcare,,0.68
Medplus Health Services Ltd.,Healthcare,,0.68
Mrs. Bectors Food Specialities Ltd.,FMCG,,0.67
Time Technoplast Ltd.,Consumer Durables,,0.64
Sarda Energy & Minerals Ltd.,Metals,,0.63
Kirloskar Pneumatic Company Ltd.,Capital Goods,,0.62
Procter & Gamble Health Ltd.,Healthcare,,0.62
RateGain Travel Technologies Ltd.,Technology,,0.62
Electrosteel Castings Ltd.,Automobile and Ancillaries,,0.61
Arvind Fashions Ltd.,Retail and Other Services,,0.60
Paradeep Phosphates Ltd.,Chemicals,,0.59
Choice International Ltd.,Financials,,0.59
Texmaco Rail & Engineering Ltd.,Automobile and Ancillaries,,0.58
GMM Pfaudler Ltd.,Capital Goods,,0.58
Tilaknagar Industries Ltd.,FMCG,,0.57
NIIT Learning Systems Ltd. ,Technology,,0.57
Vesuvius India Ltd.,Capital Goods,,0.56
Supreme Petrochem Ltd.,Chemicals,,0.56
Kesoram Industries Ltd.,Construction,,0.56
Shilpa Medicare Ltd.,Healthcare,,0.56
Jai Balaji Industries Ltd.,Metals,,0.56
Lloyds Engineering Works Ltd.,Capital Goods,,0.55
TD Power Systems Ltd.,Capital Goods,,0.55
Orient Cement Ltd.,Construction,,0.55
Pricol Ltd.,Automobile and Ancillaries,,0.54
Nazara Technologies Ltd.,Technology,,0.54
Alivus Life Sciences Ltd.,Healthcare,,0.53
Welspun Enterprises Ltd.,Construction,,0.51
V-Mart Retail Ltd.,Retail and Other Services,,0.51
Infibeam Avenues Ltd.,Financials,,0.51
Prudent Corporate Advisory Services Ltd.,Financials,,0.51
PTC India Ltd.,Energy,,0.50
Sheela Foam Ltd.,FMCG,,0.50
Ashoka Buildcon Ltd.,Infrastructure,,0.48
MTAR Technologies Ltd.,Capital Goods,,0.46
Garware Hi-Tech Films Ltd.,Consumer Durables,,0.46
EPL Ltd.,Consumer Durables,,0.46
ISGEC Heavy Engineering Ltd.,Infrastructure,,0.46
DCB Bank Ltd.,Financials,,0.46
Suprajit Engineering Ltd.,Automobile and Ancillaries,,0.45
Azad Engineering Ltd.,Capital Goods,,0.45
Shriram Pistons & Rings Ltd,Capital Goods,,0.45
Force Motors Ltd.,Automobile and Ancillaries,,0.44
Ganesh Housing Corporation Ltd.,Construction,,0.44
CSB Bank Ltd.,Financials,,0.44
Ingersoll-Rand (India) Ltd.,Capital Goods,,0.43
J Kumar Infraprojects Ltd.,Infrastructure,,0.43
Tips Music Ltd.,Media and Communications,,0.43
Dhani Services Ltd.,Financials,,0.43
Gabriel India Ltd.,Automobile and Ancillaries,,0.42
Sterlite Technologies Ltd.,Capital Goods,,0.42
Bajaj Electricals Ltd.,Consumer Durables,,0.42
Ethos Ltd.,Retail and Other Services,,0.42
IIFL Capital Services Ltd.,Financials,,0.42
Rain Industries Ltd.,Energy,,0.41
JK Paper Ltd.,FMCG,,0.41
Aarti Pharmalabs Ltd.,Healthcare,,0.41
Power Mech Projects Ltd.,Infrastructure,,0.41
Samhi Hotels Ltd.,Travel,,0.41
Dynamatic Technologies Ltd.,Capital Goods,,0.40
TeamLease Services Ltd.,Miscellaneous,,0.40
Restaurant Brands Asia Ltd.,Retail and Other Services,,0.40
Senco Gold Ltd.,Retail and Other Services,,0.40
Greaves Cotton Ltd.,Automobile and Ancillaries,,0.39
Jain Irrigation Systems Ltd.,Consumer Durables,,0.39
Zydus Wellness Ltd.,FMCG,,0.39
Indigo Paints Ltd.,Chemicals,,0.38
Dodla Dairy Ltd,FMCG,,0.38
Tega Industries Ltd.,Capital Goods,,0.37
Nocil Ltd.,Chemicals,,0.37
Sunteck Realty Ltd.,Construction,,0.37
Ahluwalia Contracts (India) Ltd.,Construction,,0.37
Orient Electric Ltd.,Consumer Durables,,0.37
KRBL Ltd.,FMCG,,0.37
Gateway Distriparks Ltd.,Logistics,,0.37
Thomas Cook (India) Ltd.,Travel,,0.37
Epigral Ltd.,Chemicals,,0.36
Borosil Renewables Ltd.,Construction,,0.36
Bajaj Hindusthan Sugar Ltd.,FMCG,,0.36
Patel Engineering Ltd.,Infrastructure,,0.36
Redtape Ltd.,Retail and Other Services,,0.36
Paisalo Digital Ltd.,Financials,,0.36
Bharat Bijlee Ltd.,Capital Goods,,0.35
Neogen Chemicals Ltd.,Chemicals,,0.35
Man InfraConstruction Ltd.,Infrastructure,,0.35
H.G. Infra Engineering Ltd.,Infrastructure,,0.34
Indo Count Industries Ltd.,Textile,,0.34
India Shelter Finance Corporation Ltd.,Financials,,0.34
Jana Small Finance Bank Ltd.,Financials,,0.34
Rolex Rings Ltd,Automobile and Ancillaries,,0.33
FDC Ltd.,Healthcare,,0.33
Go Fashion (India) Ltd.,Retail and Other Services,,0.33
Mahindra Holidays & Resorts India Ltd.,Travel,,0.33
MOIL Ltd.,Energy,,0.32
Sula Vineyards Ltd.,FMCG,,0.32
Entero Healthcare Solutions Ltd.,Miscellaneous,,0.32
Orchid Pharma Ltd.,Healthcare,,0.31
Inox Green Energy Services Ltd.,Capital Goods,,0.30
Rallis India Ltd.,Chemicals,,0.30
Surya Roshni Ltd.,Diversified,,0.30
Healthcare Global Enterprises Ltd.,Healthcare,,0.30
Banco Products (India) Ltd.,Automobile and Ancillaries,,0.29
Nesco Ltd.,Capital Goods,,0.29
Aether Industries Ltd.,Chemicals,,0.29
Greenpanel Industries Ltd.,Construction,,0.29
AGI Greenpac Ltd.,FMCG,,0.29
Electronics Mart India Ltd.,Retail and Other Services,,0.29
Cigniti Technologies Ltd.,Technology,,0.29
Dhanuka Agritech Ltd.,Chemicals,,0.28
Dilip Buildcon Ltd.,Construction,,0.28
Symphony Ltd.,Consumer Durables,,0.28
Hindustan Oil Exploration Company Ltd.,Energy,,0.28
VST Industries Ltd.,FMCG,,0.28
Sequent Scientific Ltd.,Healthcare,,0.28
Shivalik Bimetal Controls Ltd.,Metals,,0.28
ASK Automotive Ltd.,Automobile and Ancillaries,,0.27
Sharda Motor Industries Ltd.,Automobile and Ancillaries,,0.27
Cyient DLM Ltd.,Capital Goods,,0.27
The Orissa Minerals Development Company Ltd.,Energy,,0.27
Heritage Foods Ltd.,FMCG,,0.27
eMudhra Ltd.,Technology,,0.27
Laxmi Organic Industries Ltd.,Chemicals,,0.26
Star Cement Ltd.,Construction,,0.26
Hindustan Foods Ltd.,FMCG,,0.26
Kaveri Seed Company Ltd.,FMCG,,0.26
Blue Jet Healthcare Ltd.,Healthcare,,0.26
Delta Corp Ltd.,Miscellaneous,,0.26
Share India Securities Ltd.,Financials,,0.26
Jamna Auto Industries Ltd.,Automobile and Ancillaries,,0.25
Paras Defence And Space Technologies Ltd.,Capital Goods,,0.25
Puravankara Ltd.,Construction,,0.25
Polyplex Corporation Ltd.,Consumer Durables,,0.25
Wonderla Holidays Ltd.,Retail and Other Services,,0.25
Greenply Industries Ltd.,Construction,,0.24
Sandur Manganese & Iron Ores Ltd.,Energy,,0.24
JTL Industries Ltd,Metals,,0.24
Gulf Oil Lubricants India Ltd.,Automobile and Ancillaries,,0.23
Avalon Technologies Ltd.,Capital Goods,,0.23
DCX Systems Ltd.,Capital Goods,,0.23
Prince Pipes and Fittings Ltd.,Consumer Durables,,0.23
Advanced Enzyme Technologies Ltd.,Healthcare,,0.23
Mishra Dhatu Nigam Ltd.,Metals,,0.23
Sunflag Iron And Steel Company Ltd.,Metals,,0.23
Fiem Industries Ltd.,Automobile and Ancillaries,,0.22
Anupam Rasayan India Ltd.,Chemicals,,0.22
India Glycols Ltd.,Chemicals,,0.22
Heidelberg Cement India Ltd.,Construction,,0.22
Borosil Ltd.,Consumer Durables,,0.22
Bajaj Consumer Care Ltd.,FMCG,,0.22
Dishman Carbogen Amcis Ltd.,Healthcare,,0.22
Allcargo Logistics Ltd.,Logistics,,0.22
Technocraft Industries (India) Ltd.,Metals,,0.22
MSTC Ltd.,Miscellaneous,,0.22
Vaibhav Global Ltd.,Retail and Other Services,,0.22
Bombay Dyeing And Manufacturing Company Ltd.,Textile,,0.22
Le Travenues Technology Ltd.,Travel,,0.22
West Coast Paper Mills Ltd.,FMCG,,0.21
Venus Pipes & Tubes Ltd.,Metals,,0.21
Juniper Hotels Ltd.,Travel,,0.21
Eveready Industries India Ltd.,Automobile and Ancillaries,,0.20
Thirumalai Chemicals Ltd.,Chemicals,,0.20
TARC Ltd.,Construction,,0.20
Stylam Industries Ltd.,Construction,,0.20
IFB Industries Ltd.,Consumer Durables,,0.20
Aarti Drugs Ltd.,Healthcare,,0.20
Kalyani Steels Ltd.,Metals,,0.20
Optiemus Infracom Ltd.,Miscellaneous,,0.20
Happy Forgings Ltd.,Automobile and Ancillaries,,0.19
National Fertilizers Ltd.,Chemicals,,0.19
Rossari Biotech Ltd.,Chemicals,,0.19
Hemisphere Properties India Ltd.,Construction,,0.19
Hikal Ltd.,Healthcare,,0.19
Subros Ltd.,Automobile and Ancillaries,,0.18
Fineotex Chemical Ltd.,Chemicals,,0.18
Balmer Lawrie & Company Ltd.,Diversified,,0.18
Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,,0.18
