Company,Sector,,Assets&nbsp;%
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,5.70
Tech Mahindra Ltd.,Technology,,5.59
Divi's Laboratories Ltd.,Healthcare,,5.38
Persistent Systems Ltd.,Technology,,5.35
The Indian Hotels Company Ltd.,Travel,,4.82
Dixon Technologies (India) Ltd.,Consumer Durables,,4.71
Trent Ltd.,Retail and Other Services,,4.62
Zomato Ltd.,Retail and Other Services,,4.58
Info Edge (India) Ltd.,Technology,,4.29
Coforge Ltd.,Technology,,4.10
BSE Ltd.,Financials,,4.06
PB Fintech Ltd.,Financials,,3.97
Lupin Ltd.,Healthcare,,3.05
Siemens Ltd.,Capital Goods,,2.96
United Spirits Ltd.,FMCG,,2.55
Fortis Healthcare Ltd.,Healthcare,,2.19
Multi Commodity Exchange Of India Ltd.,Financials,,2.14
Oracle Financial Services Software Ltd.,Technology,,1.90
Kalyan Jewellers India Ltd.,Retail and Other Services,,1.86
Voltas Ltd.,Consumer Durables,,1.82
Glenmark Pharmaceuticals Ltd.,Healthcare,,1.54
Suven Pharmaceuticals Ltd.,Healthcare,,1.42
Coromandel International Ltd.,Chemicals,,1.27
360 One Wam Ltd.,Financials,,1.22
Oil India Ltd.,Energy,,1.21
Piramal Pharma Ltd.,Healthcare,,1.19
Radico Khaitan Ltd.,FMCG,,1.16
National Aluminium Company Ltd.,Metals,,1.10
Lloyds Metals & Energy Ltd.,Metals,,1.04
Kaynes Technology India Ltd.,Capital Goods,,0.99
Cholamandalam Financial Holdings Ltd.,Financials,,0.92
Firstsource Solutions Ltd.,Technology,,0.89
KFin Technologies Ltd.,Financials,,0.85
Amber Enterprises India Ltd.,Consumer Durables,,0.79
Motilal Oswal Financial Services Ltd.,Financials,,0.78
Deepak Fertilisers And Petrochemicals Corporation Ltd.,Chemicals,,0.78
Mazagon Dock Shipbuilders Ltd.,Automobile and Ancillaries,,0.77
Himadri Speciality Chemical Ltd.,Chemicals,,0.76
Jubilant Pharmova Ltd.,Healthcare,,0.75
Hitachi Energy India Ltd.,Capital Goods,,0.72
Anant Raj Ltd.,Construction,,0.68
KEC International Ltd.,Infrastructure,,0.65
Natco Pharma Ltd.,Healthcare,,0.65
Poly Medicure Ltd.,Healthcare,,0.56
PCBL Chemical Ltd.,Chemicals,,0.40
Godfrey Phillips India Ltd.,FMCG,,0.40
Aditya Birla Sun Life AMC Ltd.,Financials,,0.39
Caplin Point Laboratories Ltd.,Healthcare,,0.28
The India Cements Ltd.,Construction,,0.21
Netweb Technologies India Ltd.,Consumer Durables,,0.21
Total,,,100.22
Instrument,,,Assets%
Tri-Party Repo (TREPS),,,0.58
Cash & Cash Equivalent,,,0.00
Net Current Asset,,,-0.81
Total,,,-0.23
Grand Total,,,100
