Company,Sector,,Assets&nbsp;%
HDFC Bank Ltd.,Financials,,12.23
ICICI Bank Ltd.,Financials,,8.37
Reliance Industries Ltd.,Energy,,8.13
Infosys Ltd.,Technology,,6.41
Bharti Airtel Ltd.,Media and Communications,,4.13
Tata Consultancy Services Ltd.,Technology,,3.98
Larsen & Toubro Ltd.,Infrastructure,,3.98
ITC Ltd.,FMCG,,3.94
State Bank Of India,Financials,,2.82
Axis Bank Ltd.,Financials,,2.66
Kotak Mahindra Bank Ltd.,Financials,,2.64
Mahindra & Mahindra Ltd.,Automobile and Ancillaries,,2.51
Bajaj Finance Ltd.,Financials,,2.09
Hindustan Unilever Ltd.,FMCG,,2.07
Sun Pharmaceutical Industries Ltd.,Healthcare,,1.78
HCL Technologies Ltd.,Technology,,1.73
Maruti Suzuki India Ltd.,Automobile and Ancillaries,,1.53
NTPC Ltd.,Energy,,1.45
Tata Motors Ltd.,Automobile and Ancillaries,,1.42
Titan Company Ltd.,Retail and Other Services,,1.37
Power Grid Corporation Of India Ltd.,Energy,,1.29
Ultratech Cement Ltd.,Construction,,1.24
Trent Ltd.,Retail and Other Services,,1.21
Tata Steel Ltd.,Metals,,1.06
Tech Mahindra Ltd.,Technology,,1.01
Asian Paints Ltd.,Chemicals,,0.99
Bharat Electronics Ltd.,Capital Goods,,0.99
Oil & Natural Gas Corporation Ltd.,Energy,,0.97
Bajaj Auto Ltd.,Automobile and Ancillaries,,0.93
Bajaj Finserv Ltd.,Financials,,0.90
Grasim Industries Ltd.,Diversified,,0.88
JSW Steel Ltd.,Metals,,0.86
Coal India Ltd.,Energy,,0.85
Wipro Ltd.,Technology,,0.84
Hindalco Industries Ltd.,Metals,,0.82
Nestle India Ltd.,FMCG,,0.78
Adani Ports and Special Economic Zone Ltd.,Infrastructure,,0.77
Cipla Ltd.,Healthcare,,0.77
Shriram Finance Ltd.,Financials,,0.72
Dr. Reddy's Laboratories Ltd.,Healthcare,,0.70
Eicher Motors Ltd.,Automobile and Ancillaries,,0.68
Apollo Hospitals Enterprise Ltd.,Healthcare,,0.65
HDFC Life Insurance Company Ltd.,Financials,,0.64
SBI Life Insurance Company Ltd.,Financials,,0.63
Tata Consumer Products Ltd.,FMCG,,0.63
IndusInd Bank Ltd.,Financials,,0.62
Britannia Industries Ltd.,FMCG,,0.57
Adani Enterprises Ltd.,Miscellaneous,,0.54
Hero MotoCorp Ltd.,Automobile and Ancillaries,,0.53
Bharat Petroleum Corporation Ltd.,Energy,,0.48
ITC Hotels Ltd.,Travel,,0.14
Total,,,99.93
Instrument,,,Assets&nbsp;%,,
Tri-Party Repo (TREPS),,,0.39,,
Net Current Asset,,,-0.31,,
Total,,,0.08,,
Grand Total,,,100,,

Disclaimer -   All necessary precautions have been taken to avoid any error 
 lapse or insufficiency in preparing this report ; however ; no representations 
 or warranties are made (express or implied) as to the reliability 
 accuracy or completeness of such information. The Company cannot 
be held liable for the contents of this report or for any action taken on its basis.
