Company,Sector,,Assets&nbsp;%
Blue Star Ltd.,Consumer Durables,,2.91
Kalpataru Projects International Ltd.,Infrastructure,,2.68
DOMS Industries Ltd.,FMCG,,2.62
E.I.D. - Parry (India) Ltd.,FMCG,,2.45
SBFC Finance Ltd.,Financials,,2.44
Chalet Hotels Ltd.,Travel,,2.40
Krishna Institute of Medical Sciences Ltd,Healthcare,,2.40
City Union Bank Ltd.,Financials,,2.39
K.P.R. Mill Ltd.,Textile,,2.30
Finolex Industries Ltd.,Consumer Durables,,2.27
Lemon Tree Hotels Ltd.,Travel,,2.18
Aavas Financiers Ltd.,Financials,,2.14
Triveni Turbine Ltd.,Capital Goods,,2.12
CMS Info Systems Ltd.,Technology,,2.08
V-Guard Industries Ltd.,Capital Goods,,1.98
Ratnamani Metals & Tubes Ltd.,Metals,,1.95
Cholamandalam Financial Holdings Ltd.,Financials,,1.91
Aptus Value Housing Finance India Ltd.,Financials,,1.90
Carborundum Universal Ltd.,Capital Goods,,1.88
Elgi Equipments Ltd.,Capital Goods,,1.73
Balrampur Chini Mills Ltd.,FMCG,,1.72
Chemplast Sanmar Ltd.,Chemicals,,1.67
Brigade Enterprises Ltd.,Construction,,1.66
Westlife Foodworld Ltd,Retail and Other Services,,1.63
GE Vernova T&D India Ltd.,Capital Goods,,1.61
Karur Vysya Bank Ltd.,Financials,,1.51
Esab India Ltd.,Capital Goods,,1.44
TTK Prestige Ltd.,Consumer Durables,,1.38
Dodla Dairy Ltd,FMCG,,1.33
Ahluwalia Contracts (India) Ltd.,Construction,,1.23
Happy Forgings Ltd.,Automobile and Ancillaries,,1.22
Indian Energy Exchange Ltd.,Energy,,1.20
Whirlpool Of India Ltd.,Consumer Durables,,1.18
GR Infraprojects Ltd.,Infrastructure,,1.11
CSB Bank Ltd.,Financials,,1.08
KNR Constructions Ltd.,Infrastructure,,1.07
Indiamart Intermesh Ltd.,Retail and Other Services,,1.06
Vedant Fashions Ltd.,Textile,,1.05
Go Fashion (India) Ltd.,Retail and Other Services,,1.00
Hawkins Cookers Ltd.,Consumer Durables,,0.99
Fine Organic Industries Ltd.,Chemicals,,0.99
Electronics Mart India Ltd.,Retail and Other Services,,0.95
Navin Fluorine International Ltd.,Chemicals,,0.93
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Ancillaries,,0.92
Sheela Foam Ltd.,FMCG,,0.92
Hatsun Agro Product Ltd.,FMCG,,0.89
HEG Ltd.,Capital Goods,,0.88
Anand Rathi Wealth Ltd.,Financials,,0.88
Archean Chemical Industries Ltd.,Chemicals,,0.83
V-Mart Retail Ltd.,Retail and Other Services,,0.77
VST Industries Ltd.,FMCG,,0.74
Sansera Engineering Ltd.,Automobile and Ancillaries,,0.72
Thangamayil Jewellery Ltd.,Retail and Other Services,,0.67
Deepak Fertilisers And Petrochemicals Corporation Ltd.,Chemicals,,0.61
Happiest Minds Technologies Ltd.,Technology,,0.53
Rajratan Global Wire Ltd.,Automobile and Ancillaries,,0.52
Star Cement Ltd.,Construction,,0.50
PVR Inox Ltd.,Media and Communications,,0.49
Rossari Biotech Ltd.,Chemicals,,0.47
Zydus Wellness Ltd.,FMCG,,0.35
Relaxo Footwears Ltd.,FMCG,,0.32
Total,,,85.75
Instrument,Asset Type,Rating,Assets&nbsp;%
182 Days Treasury Bill - 05-Jun-2025,Treasury Bills,Sovereign,0.17
Total,,,0.17
Instrument,,,Assets%
Tri-Party Repo (TREPS),,,12.35
Other Derivaties,,,1.91
Net Current Asset,,,-0.18
Total,,,14.08
Grand Total,,,100
